zip_code,city,state,county
28532,Havelock,NC,Craven
27601,Raleigh,NC,Wake
27260,High Point,NC,Guilford
28601,Hickory,NC,Catawba
28645,Lenoir,NC,Caldwell
28560,New Bern,NC,Craven
27360,Thomasville,NC,Davidson
27889,Washington,NC,Beaufort
28110,Monroe,NC,Union
28328,Clinton,NC,Sampson
27330,Sanford,NC,Lee
27530,Goldsboro,NC,Wayne
27804,Rocky Mount,NC,Nash
27288,Eden,NC,Rockingham
28739,Hendersonville,NC,Henderson
28078,Huntersville,NC,Mecklenburg
28301,Fayetteville,NC,Cumberland
28228,Charlotte,NC,Mecklenburg
27886,Tarboro,NC,Edgecombe
28801,Asheville,NC,Buncombe
28001,Albemarle,NC,Stanly
28401,Wilmington,NC,New Hanover
27502,Apex,NC,Wake
27514,Chapel Hill,NC,Orange
27320,Reidsville,NC,Rockingham
28025,Concord,NC,Cabarrus
28144,Salisbury,NC,Rowan
27587,Wake Forest,NC,Wake
28677,Statesville,NC,Iredell
28115,Mooresville,NC,Iredell
27701,Durham,NC,Durham
27030,Mount Airy,NC,Surry
28501,Kinston,NC,Lenoir
28540,Jacksonville,NC,Onslow
28607,Boone,NC,Watauga
27401,Greensboro,NC,Guilford
27909,Elizabeth City,NC,Pasquotank
28352,Laurinburg,NC,Scotland
27203,Asheboro,NC,Randolph
27101,Winston-Salem,NC,Forsyth
28105,Matthews,NC,Mecklenburg
27870,Roanoke Rapids,NC,Halifax
27536,Henderson,NC,Vance
27292,Lexington,NC,Davidson
27834,Greenville,NC,Pitt
27511,Cary,NC,Wake
28358,Lumberton,NC,Robeson
27215,Burlington,NC,Alamance
28786,Waynesville,NC,Haywood
28150,Shelby,NC,Cleveland
28052,Gastonia,NC,Gaston
28655,Morganton,NC,Burke
